name,ticker,sector,price,score,signal,pe,pb,roe,net_margin,gross_margin,de,cur_ratio,rev_gr,earn_gr,fcf_cr,div_yld,insider,inst,ann_ret,w52h,w52l,market_cap_cr
RELIANCE,RELIANCE.NS,Energy,1350.2,49,🔴 AVOID,21.97,2.08,0,8.12,35.78,0.36,,10.4,0.6,,41.0,51.05,27.87,11.21,1611.8,1195.15,1827154
TCS,TCS.NS,Technology,2524.3,93,🟢 BUY CANDIDATE,18.57,8.05,48.4,18.13,41.27,0.11,2.23,9.6,12.2,45476,243.0,71.79,16.97,-19.18,3630.5,2346.2,913314
HDFCBANK,HDFCBANK.NS,Financial Services,810.3,68,🟡 WATCHLIST,18.07,2.21,14.02,26.19,0,,,26.4,11.5,,138.0,0.16,55.58,-9.09,1020.5,726.65,1247316
BHARTIARTL,BHARTIARTL.NS,Communication Services,1870.0,68,🟡 WATCHLIST,36.97,9.13,23.12,14.94,67.27,1.17,0.45,19.6,-55.3,46826,86.0,48.03,31.83,7.35,2174.5,1732.35,1139105
ICICIBANK,ICICIBANK.NS,Financial Services,1321.9,66,🟡 WATCHLIST,18.04,2.71,16.8,27.51,0,,,3.0,-3.7,,86.0,3.01,55.86,1.56,1500.0,1187.6,946634
INFOSYS,INFY.NS,Technology,1292.5,83,🟢 BUY CANDIDATE,18.07,6.06,32.68,16.15,29.35,0.11,1.81,3.2,-5.3,314,338.0,16.07,49.06,-5.58,1728.0,1215.1,523028
SBIN,SBIN.NS,Financial Services,1066.7,56,🟡 WATCHLIST,11.62,1.66,0,22.5,0,,,14.5,9.3,,153.0,56.92,28.91,44.34,1234.7,746.0,984630
HINDUNILVR,HINDUNILVR.NS,Consumer Defensive,2155.3,43,🔴 AVOID,50.02,10.39,0,22.29,50.86,0.04,,3.9,121.4,,202.0,62.26,19.45,-7.23,2750.0,2022.5,506481
ITC,ITC.NS,Consumer Defensive,304.25,58,🟡 WATCHLIST,18.7,5.37,0,43.89,55.94,0.01,,6.7,0,,474.0,27.31,50.22,-24.96,444.2,287.0,381209
LT,LT.NS,Industrials,3959.9,31,🔴 AVOID,30.99,5.37,0,5.75,36.38,1.12,,11.1,-4.3,,87.0,16.61,49.15,28.27,4440.0,3100.15,544737
KOTAKBANK,KOTAKBANK.NS,Financial Services,374.55,58,🟡 WATCHLIST,19.83,2.22,0,24.56,0,,,24.2,4.7,,13.0,28.76,47.11,-11.19,460.38,345.5,372508
BAJFINANCE,BAJFINANCE.NS,Financial Services,924.55,41,🔴 AVOID,31.89,5.56,0,43.68,91.91,3.1,,6.4,-6.8,,49.0,56.01,25.46,4.28,1102.5,787.9,574732
ASIANPAINT,ASIANPAINT.NS,Basic Materials,2360.7,36,🔴 AVOID,58.77,11.55,0,11.1,42.92,0.18,,3.7,-4.6,,110.0,52.93,26.78,-0.31,2985.7,2115.0,226295
AXISBANK,AXISBANK.NS,Financial Services,1350.8,61,🟡 WATCHLIST,16.03,2.03,13.63,34.17,0,,,5.7,3.8,,8.0,2.63,69.46,26.47,1418.3,1042.5,420074
MARUTI,MARUTI.NS,Consumer Cyclical,13709.0,56,🟡 WATCHLIST,28.91,4.32,0,8.69,27.46,0.0,,28.7,4.1,,99.0,59.37,27.93,19.47,17370.0,11289.0,431014
HCLTECH,HCLTECH.NS,Technology,1451.2,79,🟢 BUY CANDIDATE,23.93,5.25,23.19,13.02,34.33,0.1,2.21,7.4,-15.9,187,369.0,62.67,27.18,8.02,1780.1,1297.7,392644
SUNPHARMA,SUNPHARMA.NS,Healthcare,1654.9,48,🔴 AVOID,37.74,5.1,0,19.21,78.54,0.07,,13.5,15.7,,96.0,55.62,28.67,-0.97,1851.2,1548.0,397066
TITAN,TITAN.NS,Consumer Cyclical,4505.0,28,🔴 AVOID,83.86,31.2,0,6.31,21.31,2.23,,43.3,60.8,,25.0,58.81,19.81,39.68,4523.9,3201.25,399614
ULTRACEMCO,ULTRACEMCO.NS,Basic Materials,11589.0,48,🔴 AVOID,44.6,4.73,0,8.94,58.19,0.33,,27.0,15.1,,68.0,60.6,21.75,1.39,13110.0,10325.0,340918
WIPRO,WIPRO.NS,Technology,204.88,86,🟢 BUY CANDIDATE,16.23,2.39,15.2,14.59,29.61,0.22,2.19,5.5,-7.2,11000,838.0,72.79,14.73,-10.61,273.1,186.5,214653
NESTLEIND,NESTLEIND.NS,Consumer Defensive,1249.3,48,🔴 AVOID,73.66,54.33,0,14.92,54.62,0.11,,18.6,44.8,,156.0,62.92,16.88,6.83,1340.4,1084.7,240904
POWERGRID,POWERGRID.NS,Utilities,302.75,55,🟡 WATCHLIST,19.42,2.84,0,32.79,97.82,1.41,,10.3,8.4,,411.0,52.61,35.14,2.81,322.0,250.0,281576
NTPC,NTPC.NS,Utilities,380.15,41,🔴 AVOID,21.05,1.92,0,12.89,45.78,1.18,,8.0,-1.6,,300.0,53.27,39.0,8.35,394.5,315.55,368619
ONGC,ONGC.NS,Energy,286.5,46,🔴 AVOID,9.47,0.98,0,5.8,19.53,0.44,,0.8,16.2,,641.0,69.21,22.94,31.1,293.0,225.25,360425
TATAMOTORS,TATAMOTORS.NS,N/A,0,13,🔴 AVOID,,,0,0,0,,,0,0,,0,0,0,,0,0,
ADANIENT,ADANIENT.NS,Energy,2086.8,48,🔴 AVOID,18.87,4.68,0,14.11,48.47,1.78,,8.6,9629.6,,6.0,77.48,15.03,-10.06,2695.0,1753.0,284208
TATASTEEL,TATASTEEL.NS,Basic Materials,206.61,42,🔴 AVOID,28.11,2.71,0,4.07,54.9,1.0,,6.3,730.8,,175.0,35.53,33.73,58.47,216.45,130.49,257681
BAJAJFINSV,BAJAJFINSV.NS,Financial Services,1809.2,36,🔴 AVOID,30.19,3.76,0,6.58,49.71,2.38,,24.8,-0.7,,6.0,63.86,14.31,-7.0,2195.0,1597.0,289019
JSWSTEEL,JSWSTEEL.NS,Basic Materials,1214.8,28,🔴 AVOID,39.86,3.57,0,4.16,42.13,1.19,,11.1,198.6,,23.0,64.62,17.23,23.01,1284.7,935.0,296759
TECHM,TECHM.NS,Technology,1440.2,47,🔴 AVOID,27.68,4.64,0,8.39,33.79,0.07,,8.3,14.1,,308.0,36.62,43.66,15.57,1854.0,1274.2,127611
COALINDIA,COALINDIA.NS,Energy,434.1,55,🟡 WATCHLIST,8.96,2.54,0,23.04,85.63,0.13,,-4.8,-15.9,,484.0,63.14,26.02,18.5,476.0,368.65,267524
GRASIM,GRASIM.NS,Basic Materials,2742.6,33,🔴 AVOID,41.19,1.87,0,2.67,56.26,1.27,,27.4,14.1,,36.0,47.87,25.91,3.82,2979.0,2502.5,185996
DIVISLAB,DIVISLAB.NS,Healthcare,6116.5,48,🔴 AVOID,65.45,10.53,0,24.04,61.65,0.01,,12.3,-1.0,,50.0,52.04,28.66,9.93,7071.5,5386.15,162374
CIPLA,CIPLA.NS,Healthcare,1229.5,46,🔴 AVOID,21.88,3.02,0,16.26,65.19,0.01,,0,-57.0,,106.0,30.96,40.34,-15.07,1673.0,1165.7,99317
DRREDDY,DRREDDY.NS,Healthcare,1232.2,83,🟢 BUY CANDIDATE,18.16,2.76,16.1,16.36,55.18,0.18,1.88,4.4,-14.3,1347,66.0,29.45,52.07,11.76,1379.7,1102.25,102592
EICHERMOT,EICHERMOT.NS,Consumer Cyclical,7424.0,53,🟡 WATCHLIST,38.05,9.22,0,23.88,43.03,0.02,,22.9,21.3,,98.0,49.87,27.13,40.54,8230.0,5219.5,203651
HINDALCO,HINDALCO.NS,Basic Materials,992.1,49,🔴 AVOID,13.73,1.63,0,6.14,31.83,0.58,,13.9,-45.1,,51.0,36.77,40.43,66.48,1029.8,576.1,221821
INDUSINDBK,INDUSINDBK.NS,Financial Services,830.9,23,🔴 AVOID,17.1,0.99,0,-14.66,0,,,-28.5,-91.2,,0,16.6,47.89,20.51,968.85,675.5,64736
M&M,M&M.NS,Consumer Cyclical,3259.8,43,🔴 AVOID,23.34,4.39,0,8.33,38.95,1.32,,26.4,46.8,,80.0,25.25,48.71,27.35,3839.9,2532.05,391330
ADANIPORTS,ADANIPORTS.NS,Industrials,1475.3,83,🟢 BUY CANDIDATE,25.55,4.75,19.41,34.24,65.37,0.82,,21.9,20.3,,48.0,68.05,20.52,27.3,1584.0,1148.0,339903
BRITANNIA,BRITANNIA.NS,Consumer Defensive,5557.5,41,🔴 AVOID,55.47,35.86,0,12.84,40.69,0.58,,8.2,16.9,,137.0,50.55,25.31,5.24,6336.0,5276.5,133863
HDFCLIFE,HDFCLIFE.NS,Financial Services,604.15,53,🟡 WATCHLIST,69.05,7.4,11.32,1.81,9.64,0.18,0.91,70.4,-1.0,,36.0,55.97,26.94,-11.63,820.75,555.1,130332
SBILIFE,SBILIFE.NS,Financial Services,1923.2,46,🔴 AVOID,77.71,10.14,13.92,1.89,7.23,,0.97,144.5,4.7,,14.0,58.47,29.43,26.54,2132.0,1500.05,192915
TATACONSUM,TATACONSUM.NS,Consumer Defensive,1093.7,41,🔴 AVOID,73.5,5.32,0,7.54,40.85,0.12,,15.0,37.6,,77.0,34.39,33.34,0.36,1220.9,1007.2,108243
